date,symbol,open,high,low,close,adjusted_close,volume,rate_1year,rate_3month,rate_10year,cpi_core,cpi_headline,ppi_final,gdp_growth,vix,unemployment,dividend_per_share,dividend_growth_pct,return_outlier_flag,volume_outlier_flag,daily_return,log_return,volatility_10d,volatility_21d,volatility_63d,vix_change,vix_jpm_corr_21d,vix_jpm_corr_63d,term_spread_10y_3m,rate_10y_momentum_5d,rate_3m_momentum_5d,rate_10y_momentum_21d,rate_3m_momentum_21d,dividend_growth_yoy,gdp_growth_rate_qoq
2021-12-14,JPM,157.4499969482422,160.88999938964844,157.3000030517578,159.1300048828125,141.89987182617188,12563600,0.26,0.05,1.44,285.18,280.845,132.26,21988.737,21.89,3.9,1.0,0.11111111111111116,False,False,0.007662178885595283,0.007632973482769146,0.20597128735701925,0.2241016028656169,0.21661403146962233,0.07779419005416055,-0.5298564041377306,-0.4974486309393139,1.39,-0.040000000000000036,-0.009999999999999995,-0.14000000000000012,0.0,0.11111111111111116,0.01715755162822097
2021-12-15,JPM,159.85000610351562,159.85000610351562,157.35000610351562,157.94000244140625,140.8386993408203,14014200,0.29,0.05,1.47,285.18,280.845,132.26,21988.737,19.29,3.9,1.0,0.11111111111111116,False,False,-0.007478318843384901,-0.0075064216653193535,0.2074247263355721,0.22482506634545235,0.21715821796022586,-0.11877569666514398,-0.5020342526043445,-0.48080696852298016,1.42,-0.050000000000000044,-0.020000000000000004,-0.15999999999999992,0.0,0.11111111111111116,0.01715755162822097
2021-12-16,JPM,160.38999938964844,161.82000732421875,158.6999969482422,160.41000366210938,143.04124450683594,19542800,0.26,0.05,1.44,285.18,280.845,132.26,21988.737,20.57,3.9,1.0,0.11111111111111116,False,False,0.015638778093836292,0.015517752567108125,0.19383856610711123,0.2325118724173122,0.2192624777019238,0.06635562467599798,-0.47081857893085155,-0.4655861324409874,1.39,-0.050000000000000044,-0.009999999999999995,-0.18999999999999995,0.0,0.11111111111111116,0.01715755162822097
2021-12-17,JPM,159.32000732421875,159.3800048828125,155.17999267578125,156.75999450683594,139.78646850585938,28082000,0.27,0.05,1.41,285.18,280.845,132.26,21988.737,21.57,3.9,1.0,0.11111111111111116,False,True,-0.022754108524419503,-0.02301697848718081,0.2070185623298638,0.24401058410500023,0.21552185987816816,0.04861448711716099,-0.45845228021097423,-0.4236894790649205,1.3599999999999999,-0.07000000000000006,-0.009999999999999995,-0.19000000000000017,0.0,0.11111111111111116,0.01715755162822097
2021-12-20,JPM,154.50999450683594,154.6999969482422,151.83999633789062,153.94000244140625,137.27178955078125,15148000,0.27,0.07,1.43,285.18,280.845,132.26,21988.737,22.87,3.9,1.0,0.11111111111111116,False,False,-0.017989430464599776,-0.01815320741125647,0.2099822946737093,0.2492903286442521,0.21872246886925792,0.06026889197960128,-0.4591003835480009,-0.42914924684042205,1.3599999999999999,0.010000000000000009,0.020000000000000004,-0.16000000000000014,0.020000000000000004,0.11111111111111116,0.01715755162822097
2021-12-21,JPM,155.41000366210938,157.17999267578125,155.08999633789062,156.08999633789062,139.1890106201172,11291300,0.29,0.07,1.48,285.18,280.845,132.26,21988.737,21.01,3.9,1.0,0.11111111111111116,False,False,0.01396660650822712,0.013869972189060952,0.20734946943647903,0.2526203814540881,0.2171748341672099,-0.08132925229558374,-0.480774653443714,-0.4187800514969432,1.41,0.040000000000000036,0.020000000000000004,-0.06000000000000005,0.020000000000000004,0.11111111111111116,0.01715755162822097
2021-12-22,JPM,155.75,157.05999755859375,155.24000549316406,156.6999969482422,139.73294067382812,7273000,0.28,0.08,1.46,285.18,280.845,132.26,21988.737,18.63,3.9,1.0,0.11111111111111116,False,False,0.003907852001300949,0.0039002361822169387,0.20629352564984682,0.23999541543880568,0.2066558923542403,-0.11327939076630189,-0.540535816248465,-0.40137999011120873,1.38,-0.010000000000000009,0.03,-0.16999999999999993,0.03,0.11111111111111116,0.01715755162822097
2021-12-23,JPM,157.61000061035156,159.1199951171875,157.2100067138672,157.25999450683594,140.23231506347656,8055200,0.31,0.07,1.5,285.18,280.845,132.26,21988.737,17.96,3.9,1.0,0.11111111111111116,False,False,0.003573777144031398,0.003567406376451067,0.2085595126720207,0.22211057094941078,0.20541820213986192,-0.03596349973161561,-0.5910775945215758,-0.39869565538269747,1.43,0.06000000000000005,0.020000000000000004,-0.16999999999999993,0.010000000000000009,0.11111111111111116,0.01715755162822097
2021-12-27,JPM,157.60000610351562,158.1999969482422,156.33999633789062,158.16000366210938,141.034912109375,6188100,0.33,0.06,1.48,285.18,280.845,132.26,21988.737,17.68,3.9,1.0,0.11111111111111116,False,False,0.005723338772059439,0.0057070226940688544,0.21164310052306481,0.2235068053305245,0.19979910633614284,-0.015590200445434355,-0.5983856394682644,-0.42800205053873575,1.42,0.07000000000000006,0.009999999999999995,-0.15999999999999992,0.0,0.11111111111111116,0.01715755162822097
2021-12-28,JPM,158.1999969482422,160.14999389648438,158.0800018310547,158.63999938964844,141.46290588378906,6342300,0.39,0.06,1.49,285.18,280.845,132.26,21988.737,17.54,3.9,1.0,0.11111111111111116,False,False,0.0030346654456887556,0.003030070142962132,0.20320514761222444,0.19946582460693882,0.19971536501888654,-0.007918552036199178,-0.4379717172036489,-0.4327700805999489,1.43,0.06000000000000005,-0.010000000000000009,0.010000000000000009,0.0,0.11111111111111116,0.01715755162822097
